ID,Name,Attribute,Race,Max Lvl,Exp Curve,Max Exp,Rarity,Cost,Series,Lvl 1 HP,Lvl 1 ATK,Lvl 1 REC,Lvl Max HP,Lvl Max ATK,Lvl Max REC,Active Skill 1,Active Skill 1 Description,Active Skill 2,Active Skill 2 Description,Leader Skill,Leader Skill Description
18,Dark Mage Endor,Dark,Human,15,1000K,20409,3,2,Protagonists,212,130,34,357,220,64,Runestone Release - Dark,Explode all Light Runestones to deal a Dark Damage to all enemies,,,Power of the Darkness,Dark Attack x 1.5
19,Dark Archmage Endor,Dark,Human,35,1500K,180550,4,4,Protagonists,432,266,68,784,483,140,Runestone Release - Dark,Explode all Light Runestones to deal a Dark Damage to all enemies,,,Anger of the Darkness,Dark Attack x 2
20,Necromancer Endor,Dark,Human,99,3000K,3000000,5,9,Protagonists,829,511,131,1843,1137,337,Rune Excitation - Dark,Explode all Light Runestones to deal a Dark Damage to all enemies and generate Enchanted Runestones,,,Anger of the Darkness,Dark Attack x 2
21,Aqua Solitary,Water,Dragon,10,500K,4217,2,1,Chinese Mythological Beasts,143,52,6,309,94,7,Offensive Stance - Water,Turn all Heart Runestones into Water Runestones.,,,Anger of Dragons,Dragon Attack x 2
22,Prime Aqua Ascetic,Water,Dragon,15,1000K,20409,3,2,Chinese Mythological Beasts,358,134,17,616,198,18,Offensive Stance - Water,Turn all Heart Runestones into Water Runestones.,,,Anger of Dragons,Dragon Attack x 2
23,Hermit of Dainty Rivers,Water,Dragon,35,2000K,240734,4,4,Chinese Mythological Beasts,729,276,36,1354,431,39,Offensive Stance - Water,Turn all Heart Runestones into Water Runestones.,,,Anger of Dragons,Dragon Attack x 2
24,Qinglong the Sage of the East,Water,Dragon,99,2500K,2500000,5,9,Chinese Mythological Beasts,1398,532,70,3199,979,78,Offensive Stance - Water,Turn all Heart Runestones into Water Runestones.,,,Fury of Dragons,Dragon Attack x 2.5
25,Pyro Solitary,Fire,Beast,10,500K,4217,2,1,Chinese Mythological Beasts,137,59,14,260,106,29,Defensive Stance - Fire,Turn all Earth Runestones into Heart Runestones.,,,Revival of Beasts,Beast Recovery x 2
26,Prime Pyro Ascetic,Fire,Beast,15,1000K,20409,3,2,Chinese Mythological Beasts,320,141,35,515,216,58,Defensive Stance - Fire,Turn all Earth Runestones into Heart Runestones.,,,Revival of Beasts,Beast Recovery x 2
27,Hermit of Searing Blazes,Fire,Beast,35,2000K,240734,4,4,Chinese Mythological Beasts,639,286,69,1133,475,128,Defensive Stance - Fire,Turn all Earth Runestones into Heart Runestones.,,,Revival of Beasts,Beast Recovery x 2
28,Zhuque the Sage of the South,Fire,Beast,99,2500K,2500000,5,9,Chinese Mythological Beasts,1215,544,133,2684,1105,305,Defensive Stance - Fire,Turn all Earth Runestones into Heart Runestones.,,,Regeneration of Beasts,Beast Recovery x 2.5
29,Terra Solitary,Earth,Beast,10,500K,4217,2,1,Chinese Mythological Beasts,150,51,16,285,92,31,Shield,Damage received -50% for 3 Rounds.,,,Blood of Beasts,Beast HP x 2
30,Prime Terra Ascetic,Earth,Beast,15,1000K,20409,3,2,Chinese Mythological Beasts,352,122,36,566,187,61,Shield,Damage received -50% for 3 Rounds.,,,Blood of Beasts,Beast HP x 2
31,Hermit of the Vague Territory,Earth,Beast,35,2000K,240734,4,4,Chinese Mythological Beasts,703,246,74,1246,409,135,Shield,Damage received -50% for 3 Rounds.,,,Blood of Beasts,Beast HP x 2
32,Xuanwu the Sage of the North,Earth,Beast,99,2500K,2500000,5,9,Chinese Mythological Beasts,1336,469,140,2949,952,322,Shield,Damage received -50% for 3 Rounds.,,,Will of Beasts,Beast HP x 2.5
33,Light Solitary,Light,Beast,10,500K,4217,2,1,Chinese Mythological Beasts,136,52,17,257,93,34,Shield Destructor,Enemies' Defense -75% for 3 Rounds.,,,Anger of Beasts,Beast Attack x 2
34,Prime Light Ascetic,Light,Beast,15,1000K,20409,3,2,Chinese Mythological Beasts,316,123,41,510,189,68,Shield Destructor,Enemies' Defense -75% for 3 Rounds.,,,Anger of Beasts,Beast Attack x 2
35,Hermit of Luminous Virtue,Light,Beast,35,2000K,240734,4,4,Chinese Mythological Beasts,633,248,80,1122,413,148,Shield Destructor,Enemies' Defense -75% for 3 Rounds.,,,Anger of Beasts,Beast Attack x 2
36,Baihu the Sage of the West,Light,Beast,99,2500K,2500000,5,9,Chinese Mythological Beasts,1094,430,139,2416,874,321,Collapse of Barrier,Enemy Defense -90% for 3 Rounds.,,,Fury of Beasts,Beast Attack x 2.5
37,Shadow Solitary,Dark,Beast,10,500K,4217,2,1,Chinese Mythological Beasts,116,56,14,220,100,28,Defensive Stance - Dark,Turn all Light Runestones into Heart Runestones.,,,Anger of Beasts,Beast Attack x 2
38,Prime Shadow Ascetic,Dark,Beast,15,1000K,20409,3,2,Chinese Mythological Beasts,270,132,33,435,202,55,Defensive Stance - Dark,Turn all Light Runestones into Heart Runestones.,,,Anger of Beasts,Beast Attack x 2
39,Hermit of Noble Authority,Dark,Beast,35,2000K,240734,4,4,Chinese Mythological Beasts,542,267,66,960,443,121,Defensive Stance - Dark,Turn all Light Runestones into Heart Runestones.,,,Anger of Beasts,Beast Attack x 2
40,Taotie the Sage of the Center,Dark,Beast,99,2500K,2500000,5,9,Chinese Mythological Beasts,1028,509,125,2271,1033,289,Defensive Stance - Dark,Turn all Light Runestones into Heart Runestones.,,,Fury of Beasts,Beast Attack x 2.5
41,Icigon,Water,Dragon,15,1000K,20409,3,2,Defensive Dragons,391,147,6,672,217,7,Wave Slam,Deal 5x Water Damage to all enemies,,,Aquatic Wall,Water Damage received -50%
42,Crystalgon,Water,Dragon,50,2000K,500000,4,5,Defensive Dragons,796,301,13,1778,545,15,Wave Slam,Deal 5x Water Damage to all enemies,,,Barbican - Water and Earth,Water Damage received -50%; Earth Damage received -30%
43,Icetoragon,Water,Dragon,99,4000K,4000000,5,9,Defensive Dragons,1525,580,26,3489,1068,30,Wave Supernova,Launch a 30x Water Attack to all enemies.,,,"Wall of Water, Earth & Darkness",Water Damage received -50%; Earth and Dark Damage received -30%
44,Flamer,Fire,Dragon,15,1000K,20409,3,2,Defensive Dragons,411,157,6,706,232,7,Flame Slam,Deal 5x Fire Damage to all enemies,,,Fiery Wall,Fire Damage received -50%
45,Flamisaur,Fire,Dragon,50,2000K,500000,4,5,Defensive Dragons,837,322,12,1870,583,14,Flame Slam,Deal 5x Fire Damage to all enemies,,,Barbican - Fire and Water,Fire Damage received -50%; Water Damage received -30%
46,Metablaze,Fire,Dragon,99,4000K,4000000,5,9,Defensive Dragons,1605,621,23,3672,1142,26,Flame Supernova,Launch a 30x Fire Attack to all enemies.,,,"Wall of Fire, Water and Light",Fire Damage received -50%; Water and Light Damage received -30%
47,Jadator,Earth,Dragon,15,1000K,20409,3,2,Defensive Dragons,452,135,6,777,200,7,Land Slam,Deal 5x Earth Damage to all enemies,,,Verdant Wall,Earth Damage received -50%
48,Armorode,Earth,Dragon,50,2000K,500000,4,5,Defensive Dragons,920,277,12,2056,502,14,Land Slam,Deal 5x Earth Damage to all enemies,,,Barbican - Earth and Fire,Earth Damage received -50%; Fire Damage received -30%
49,Govindasaur,Earth,Dragon,99,4000K,4000000,5,9,Defensive Dragons,1764,534,24,4036,983,28,Land Supernova,Launch a 30x Earth Attack to all enemies.,,,"Wall of Earth, Fire and Dark",Earth Damage received -50%; Fire and Dark Damage received -30%
50,Shimmer,Light,Dragon,15,1000K,20409,3,2,Defensive Dragons,406,136,6,699,201,7,Flash Slam,Deal 5x Light Damage to all enemies,,,Luminous Wall,Light Damage received -50%
51,Lightigon,Light,Dragon,50,2000K,500000,4,5,Defensive Dragons,828,280,14,1852,507,16,Flash Slam,Deal 5x Light Damage to all enemies,,,Barbican - Light and Water,Light Damage received -50%; Water Damage received -30%
52,Luminosaurus,Light,Dragon,99,4000K,4000000,5,9,Defensive Dragons,1588,540,26,3635,994,30,Flash Supernova,Launch a 30x Light Attack to all enemies.,,,"Wall of Light, Water and Earth",Light Damage received -50%; Water and Earth Damage received -30%
53,Decapa,Dark,Dragon,15,1000K,20409,3,2,Defensive Dragons,382,161,6,657,238,7,Shadow Slam,Deal 5x Dark Damage to all enemies,,,Dusky Wall,Dark Damage received -50%
54,Decapator,Dark,Dragon,50,2000K,500000,4,5,Defensive Dragons,778,331,12,1740,599,14,Shadow Slam,Deal 5x Dark Damage to all enemies,,,Barbican - Dark and Fire,Dark Damage received -50%; Fire Damage received -30%
55,Phantomasaur,Dark,Dragon,99,4000K,4000000,5,9,Defensive Dragons,1493,638,24,3417,1174,28,Shadow Supernova,Launch a 30x Dark Attack to all enemies.,,,"Wall of Dark, Fire and Light",Dark Damage received -50%; Fire and Light Damage received -30%
56,Frost Gnome,Water,Elf,15,1500K,30613,2,1,Gnomes,81,43,35,231,122,104,Ice Slash,Deal 5x Water Damage to an enemy.,,,Power of Elves,Elf Attack x 1.5
57,Glacier Gnome,Water,Elf,50,2000K,500000,3,4,Gnomes,215,113,93,722,380,327,Offensive Stance - Water,Turn all Heart Runestones into Water Runestones.,,,Power of Elves,Elf Attack x 1.5
58,Lava Gnome,Fire,Elf,15,1500K,30613,2,1,Gnomes,85,45,31,243,130,92,Burning Strike,Deal 5x Fire Damage to an enemy.,,,Power of Elves,Elf Attack x 1.5
59,Volcano Gnome,Fire,Elf,50,2000K,500000,3,4,Gnomes,226,120,82,759,406,290,Offensive Stance - Fire,Turn all Heart Runestones into Fire Runestones.,,,Power of Elves,Elf Attack x 1.5
60,Forest Gnome,Earth,Elf,15,1500K,30613,2,1,Gnomes,94,39,33,267,112,98,Earth Smash,Deal 5x Earth Damage to an enemy.,,,Power of Elves,Elf Attack x 1.5
61,Boulder Gnome,Earth,Elf,50,2000K,500000,3,4,Gnomes,249,104,87,835,350,306,Offensive Stance - Earth,Turn all Heart Runestones into Earth Runestones.,,,Power of Elves,Elf Attack x 1.5
62,Light Gnome,Light,Elf,15,1500K,30613,2,1,Gnomes,84,40,36,241,114,107,Light Beam,Deal 5x Light Damage to an enemy.,,,Power of Elves,Elf Attack x 1.5
63,Glare Gnome,Light,Elf,50,2000K,500000,3,4,Gnomes,224,105,95,752,354,336,Offensive Stance - Light,Turn all Heart Runestones into Light Runestones.,,,Power of Elves,Elf Attack x 1.5
64,Dark Gnome,Dark,Elf,15,1500K,30613,2,1,Gnomes,79,47,33,226,134,97,Dark Torment,Deal 5x Dark Damage to an enemy.,,,Power of Elves,Elf Attack x 1.5
65,Abyss Gnome,Dark,Elf,50,2000K,500000,3,4,Gnomes,211,124,86,707,418,303,Offensive Stance - Dark,Turn all Heart Runestones into Dark Runestones.,,,Power of Elves,Elf Attack x 1.5
66,Sea Elf,Water,Elf,15,500K,10205,2,1,Elves,63,33,52,178,94,155,Healing Potion,Recover HP by 5x Monster's Recovery,,,Damnation of Water,Increase Water Attack on Fire Enemies (including Active Skills)
67,Raging Sea Elf,Water,Elf,50,1000K,250000,3,4,Elves,166,87,137,556,293,484,Super Healing Potion,Recover HP by 10x Monster's Recovery,,,Damnation of Water,Increase Water Attack on Fire Enemies (including Active Skills)
68,Fire Elf,Fire,Elf,15,500K,10205,2,1,Elves,66,35,46,187,100,137,Healing Potion,Recover HP by 5x Monster's Recovery,,,Damnation of Fire,Increase Fire Attack on Earth Enemies (including Active Skills)
69,Blazing Fire Elf,Fire,Elf,50,1000K,250000,3,4,Elves,174,93,122,584,313,430,Super Healing Potion,Recover HP by 10x Monster's Recovery,,,Damnation of Fire,Increase Fire Attack on Earth Enemies (including Active Skills)
70,Flower Elf,Earth,Elf,15,500K,10205,2,1,Elves,72,29,48,206,86,144,Healing Potion,Recover HP by 5x Monster's Recovery,,,Damnation of Earth,Increase Earth Attack on Water Enemies (including Active Skills)
71,Crowned Flower Elf,Earth,Elf,50,1000K,250000,3,4,Elves,191,80,128,642,269,452,Super Healing Potion,Recover HP by 10x Monster's Recovery,,,Damnation of Earth,Increase Earth Attack on Water Enemies (including Active Skills)
72,Lunar Elf,Light,Elf,15,500K,10205,2,1,Elves,65,30,53,185,87,159,Healing Potion,Recover HP by 5x Monster's Recovery,,,Damnation of Light,Increase Light Attack on Dark Enemies (including Active Skills)
73,Silvery Lunar Elf,Light,Elf,50,1000K,250000,3,4,Elves,173,81,142,579,272,497,Super Healing Potion,Recover HP by 10x Monster's Recovery,,,Damnation of Light,Increase Light Attack on Dark Enemies (including Active Skills)
74,Night Elf,Dark,Elf,15,500K,10205,2,1,Elves,61,36,48,175,103,143,Healing Potion,Recover HP by 5x Monster's Recovery,,,Damnation of Darkness,Increase Dark Attack on Light Enemies (including Active Skills)
75,Mystic Night Elf,Dark,Elf,50,1000K,250000,3,4,Elves,162,95,127,544,321,448,Super Healing Potion,Recover HP by 10x Monster's Recovery,,,Damnation of Darkness,Increase Dark Attack on Light Enemies (including Active Skills)
76,Ice Lizard Warrior,Water,Dragon,15,1500K,30613,2,1,Lizard Warriors,173,57,3,482,127,4,Ice Slash,Deal 5x Water Damage to an enemy.,,,Power of Dragons,Dragon Attack x 1.5
77,Glacier Lizard Warrior,Water,Dragon,50,2500K,625000,3,4,Lizard Warriors,430,146,8,1510,390,10,Ice Slash - EX,Deal 10x Water Damage to an enemy.,,,Power of Dragons,Dragon Attack x 1.5
78,Red Lizard Warrior,Fire,Dragon,15,1500K,30613,2,1,Lizard Warriors,181,61,3,506,136,4,Burning Strike,Deal 5x Fire Damage to an enemy.,,,Power of Dragons,Dragon Attack x 1.5
79,Blazing Lizard Warrior,Fire,Dragon,50,2500K,625000,3,4,Lizard Warriors,452,157,7,1589,418,9,Burning Strike - EX,Deal 10x Fire Damage to an enemy.,,,Power of Dragons,Dragon Attack x 1.5
80,Emerald Lizard Warrior,Earth,Dragon,15,1500K,30613,2,1,Lizard Warriors,199,52,3,556,117,4,Earth Smash,Deal 5x Earth Damage to an enemy.,,,Power of Dragons,Dragon Attack x 1.5
81,Forest Lizard Warrior,Earth,Dragon,50,2500K,625000,3,4,Lizard Warriors,496,135,8,1746,360,10,Earth Smash - EX,Deal 10x Earth Damage to an enemy.,,,Power of Dragons,Dragon Attack x 1.5
82,Light Lizard Warrior,Light,Dragon,15,1500K,30613,2,1,Lizard Warriors,180,53,3,502,118,4,Light Beam,Deal 5x Light Damage to an enemy.,,,Power of Dragons,Dragon Attack x 1.5
83,Golden Lizard Warrior,Light,Dragon,50,2500K,625000,3,4,Lizard Warriors,447,136,8,1573,363,10,Light Beam - EX,Deal 10x Light Damage to an enemy.,,,Power of Dragons,Dragon Attack x 1.5
84,Dark Lizard Warrior,Dark,Dragon,15,1500K,30613,2,1,Lizard Warriors,168,63,3,471,140,4,Dark Torment,Deal 5x Dark Damage to an enemy.,,,Power of Dragons,Dragon Attack x 1.5
85,Ebony Lizard Warrior,Dark,Dragon,50,2500K,625000,3,4,Lizard Warriors,420,161,8,1478,429,10,Dark Torment - EX,Deal 10x Dark Damage to an enemy.,,,Power of Dragons,Dragon Attack x 1.5
86,Alice the Little Witch,Water,Human,15,1000K,20409,2,1,Little Witches,104,60,20,284,163,55,Wave Combo,Launch 5 Water Attacks.,,,Power of Human,Human Attack x 1.5
87,Alice the Astrologer,Water,Human,50,1500K,375000,3,4,Little Witches,261,150,51,888,510,174,Wave Combo - EX,Launch 15 Water Attacks.,,,Power of Human,Human Attack x 1.5
88,Marymount the Little Witch,Fire,Human,15,1000K,20409,2,1,Little Witches,110,64,18,299,175,49,Flame Combo,Launch 5 Fire Attacks.,,,Power of Human,Human Attack x 1.5
89,Marymount the Miko,Fire,Human,50,1500K,375000,3,4,Little Witches,275,160,46,934,546,155,Flame Combo - EX,Launch 15 Fire Attacks.,,,Power of Human,Human Attack x 1.5
90,Karis the Little Witch,Earth,Human,15,1000K,20409,2,1,Little Witches,120,55,19,328,150,52,Foliage Combo,Launch 5 Earth Attacks.,,,Power of Human,Human Attack x 1.5
91,Karis the Taoist,Earth,Human,50,1500K,375000,3,4,Little Witches,302,138,48,1027,470,163,Foliage Combo - EX,Launch 15 Earth Attacks.,,,Power of Human,Human Attack x 1.5
92,Antonia the Little Witch,Light,Human,15,1000K,20409,2,1,Little Witches,109,55,21,296,152,57,Sacred Sword Combo,Launch 5 Light Attacks.,,,Power of Human,Human Attack x 1.5
93,Antonia the Missionary,Light,Human,50,1500K,375000,3,4,Little Witches,273,139,52,926,475,178,Sacred Sword Combo - EX,Launch 15 Light Attacks.,,,Power of Human,Human Attack x 1.5
94,Lilith the Little Witch,Dark,Human,15,1000K,20409,2,1,Little Witches,102,66,19,278,179,52,Evil Fork Combo,Launch 5 Dark Attacks.,,,Power of Human,Human Attack x 1.5
95,Lilith the Alchemist,Dark,Human,50,1500K,375000,3,4,Little Witches,256,165,47,870,561,161,Evil Fork Combo - EX,Launch 15 Dark Attacks.,,,Power of Human,Human Attack x 1.5
96,Water Slime,Water,Elf,15,500K,10205,1,1,Slimes,42,22,26,137,72,86,Wave Combo,Launch 5 Water Attacks.,,,Attack Support,Attack bonus for each Combo increases by 25%
97,Aqueous Slime,Water,Elf,30,1000K,87568,2,3,Slimes,167,87,99,422,222,261,Defensive Stance - Water,Turn all Fire Runestones into Heart Runestones.,,,Attack Support,Attack bonus for each Combo increases by 25%
98,Fire Slime,Fire,Elf,15,500K,10205,1,1,Slimes,45,23,22,145,77,76,Flame Combo,Launch 5 Fire Attacks.,,,Attack Support,Attack bonus for each Combo increases by 25%
99,Flaming Slime,Fire,Elf,30,1000K,87568,2,3,Slimes,176,93,88,444,237,232,Defensive Stance - Fire,Turn all Earth Runestones into Heart Runestones.,,,Attack Support,Attack bonus for each Combo increases by 25%
100,Greenwood Slime,Earth,Elf,15,500K,10205,1,1,Slimes,49,20,23,159,66,80,Foliage Combo,Launch 5 Earth Attacks.,,,Attack Support,Attack bonus for each Combo increases by 25%
101,Forest Slime,Earth,Elf,30,1000K,87568,2,3,Slimes,193,80,92,488,204,244,Defensive Stance - Earth,Turn all Water Runestones into Heart Runestones.,,,Attack Support,Attack bonus for each Combo increases by 25%
102,Light Slime,Light,Elf,15,500K,10205,1,1,Slimes,44,20,26,143,67,87,Sacred Sword Combo,Launch 5 Light Attacks.,,,Attack Support,Attack bonus for each Combo increases by 25%
103,Angel Slime,Light,Elf,30,1000K,87568,2,3,Slimes,174,81,102,439,206,268,Defensive Stance - Light,Turn all Dark Runestones into Heart Runestones.,,,Attack Support,Attack bonus for each Combo increases by 25%
104,Dark Slime,Dark,Elf,15,500K,10205,1,1,Slimes,42,24,23,135,79,79,Evil Fork Combo,Launch 5 Dark Attacks.,,,Attack Support,Attack bonus for each Combo increases by 25%
105,Ghost Slime,Dark,Elf,30,1000K,87568,2,3,Slimes,163,96,91,412,244,241,Defensive Stance - Dark,Turn all Light Runestones into Heart Runestones.,,,Attack Support,Attack bonus for each Combo increases by 25%
106,Azure Wolf,Water,Beast,15,1000K,20409,2,2,Werewolves,212,82,10,503,182,26,Ice Slash,Deal 5x Water Damage to an enemy.,,,Power of Beasts,Beast Attack x 1.5
107,Azure Werewolf,Water,Beast,30,1500K,131352,3,4,Werewolves,492,195,24,1116,410,57,Shield Destructor,Enemies' Defense -75% for 3 Rounds.,,,Power of Beasts,Beast Attack x 1.5
108,Crimson Wolf,Fire,Beast,15,1000K,20409,2,2,Werewolves,223,88,9,529,195,23,Burning Strike,Deal 5x Fire Damage to an enemy.,,,Power of Beasts,Beast Attack x 1.5
109,Crimson Werewolf,Fire,Beast,30,1500K,131352,3,4,Werewolves,517,208,21,1174,437,50,Shield Destructor,Enemies' Defense -75% for 3 Rounds.,,,Power of Beasts,Beast Attack x 1.5
110,Emerald Wolf,Earth,Beast,15,1000K,20409,2,2,Werewolves,245,76,9,581,168,24,Earth Smash,Deal 5x Earth Damage to an enemy.,,,Power of Beasts,Beast Attack x 1.5
111,Emerald Werewolf,Earth,Beast,30,1500K,131352,3,4,Werewolves,568,179,22,1289,377,53,Shield Destructor,Enemies' Defense -75% for 3 Rounds.,,,Power of Beasts,Beast Attack x 1.5
112,Ivory Wolf,Light,Beast,15,1000K,20409,2,2,Werewolves,220,77,11,523,170,27,Light Beam,Deal 5x Light Damage to an enemy.,,,Power of Beasts,Beast Attack x 1.5
113,Ivory Werewolf,Light,Beast,30,1500K,131352,3,4,Werewolves,512,181,24,1162,381,58,Shield Destructor,Enemies' Defense -75% for 3 Rounds.,,,Power of Beasts,Beast Attack x 1.5
114,Shadow Wolf,Dark,Beast,15,1000K,20409,2,2,Werewolves,208,90,9,493,200,24,Dark Torment,Deal 5x Dark Damage to an enemy.,,,Power of Beasts,Beast Attack x 1.5
115,Shadow Werewolf,Dark,Beast,30,1500K,131352,3,4,Werewolves,481,214,22,1092,449,53,Shield Destructor,Enemies' Defense -75% for 3 Rounds.,,,Power of Beasts,Beast Attack x 1.5
116,Urd,Water,God,15,500K,10205,3,2,The Norns,179,139,54,313,230,108,Freeze,Inactivate all enemies and turn them into Water Attribute for 3 Rounds.,,,Active Defense - Water,Water Runestones also possess 50% effect of Heart Runestones
117,"Urd, Weaver of the Past",Water,God,70,1000K,495731,4,6,The Norns,371,288,112,1005,716,363,Freeze,Inactivate all enemies and turn them into Water Attribute for 3 Rounds.,,,Active Defense - Water,Water Runestones also possess 50% effect of Heart Runestones
118,"Urd, Goddess of History",Water,God,99,3000K,3000000,5,10,The Norns,905,644,327,1617,1165,572,Freeze,Inactivate all enemies and turn them into Water Attribute for 3 Rounds.,,,Active Defense - Water,Water Runestones also possess 50% effect of Heart Runestones
119,Skuld,Fire,God,15,500K,10205,3,2,The Norns,188,148,48,329,245,96,Stopwatch,Unlimited movement of Runestones in 6 seconds without dissolving.,,,Active Defense - Fire,Fire Runestones also possess 50% effect of Heart Runestones
120,"Skuld, Weaver of the Future",Fire,God,70,1000K,495731,4,6,The Norns,390,308,100,1057,765,323,Hourglass,Unlimited movement of Runestones in 8 seconds without dissolving.,,,Active Defense - Fire,Fire Runestones also possess 50% effect of Heart Runestones
121,"Skuld, Goddess of Impermanence",Fire,God,99,3000K,3000000,5,10,The Norns,951,689,291,1701,1246,509,Time Machine,Unlimited movement of Runestones in 10 seconds without dissolving.,,,Active Defense - Fire,Fire Runestones also possess 50% effect of Heart Runestones
122,Verthandi,Earth,God,15,500K,10205,3,2,The Norns,207,128,50,362,211,100,Parasitism,"Absorb enemies' HP every Round in an amount equal to Monster's Recovery, regardless of Defense and Attribute until defeated.",,,Active Defense - Earth,Earth Runestones also possess 50% effect of Heart Runestones
123,"Verthandi, Weaver of the Present",Earth,God,70,1000K,495731,4,6,The Norns,429,266,105,1162,660,339,Parasitism,"Absorb enemies' HP every Round in an amount equal to Monster's Recovery, regardless of Defense and Attribute until defeated.",,,Active Defense - Earth,Earth Runestones also possess 50% effect of Heart Runestones
124,"Verthandi, Goddess of Fate",Earth,God,99,3000K,3000000,5,10,The Norns,1046,594,305,1869,1073,535,Parasitism,"Absorb enemies' HP every Round in an amount equal to Monster's Recovery, regardless of Defense and Attribute until defeated.",,,Active Defense - Earth,Earth Runestones also possess 50% effect of Heart Runestones
125,Idun,Light,God,15,500K,10205,3,2,The Norns,186,129,55,326,213,110,Sacred Saint,Massive HP Recovery for 5 Rounds.,,,Curing Heart,Recover HP as much as the Monster's Recovery each Round (dissolving Runestones is necessary)
126,"Idun, the Sacred Fruit Picker",Light,God,70,1000K,495731,4,6,The Norns,387,268,115,1048,666,373,Sacred Saint,Massive HP Recovery for 5 Rounds.,,,Curing Heart,Recover HP as much as the Monster's Recovery each Round (dissolving Runestones is necessary)
